37.MMHAP14FLE4.seq	WC-1548
37.MMHAP23FLE4.seq	WC-1549
37.MMHAP24FRE10.seq	WC-968
37.MMHAP25FLE4.seq	WC-257
37.MMHAP25FRE10.seq	WC-1606
37.MMHAP27FRE10.seq	WC-1170
37.MMHAP28FLE4.seq	WC-295
37.MMHAP31FLE4.seq	WC-1319
38.MHAa10h2.seq	WC-458
38.MHAa52h2.seq	WC-952
38.MHAa55h2.seq	WC-1305
38.MHAa56h2.seq	WC-1515
38.MHAa63h2.seq	WC-780
38.MHAa64h2.seq	WC-1187
38.MHAa75d2.seq	WC-483
38.MHAa91h2.seq	WC-550
38.MHAa93h2.seq	WC-1239
38.MMHAP14FLE5.seq	WC-765
38.MMHAP20FLE5.seq	WC-790
38.MMHAP23FLE5.seq	WC-255
38.MMHAP23FRE11.seq	WC-40
38.MMHAP26FRE11.seq	WC-1161
38.MMHAP32FLE5.seq	WC-805
39.MHAa55h3.seq	WC-1556
39.MHAa59d3.seq	WC-1088
39.MHAa64h3.seq	WC-1195
39.MHAa66d3.seq	WC-479
39.MHAa75d3.seq	WC-1679
39.MHAa77d3.seq	WC-473
39.MHAa90d3.seq	WC-30
39.MHAa91h3.seq	WC-1343
39.MHAa92h3.seq	WC-1344
39.MMHAP11FLE6.seq	WC-1537
39.MMHAP11FRE12.seq	WC-119
39.MMHAP20FLE6.seq	WC-1531
39.MMHAP23FLE6.seq	WC-638
39.MMHAP23FRE12.seq	WC-943
39.MMHAP26FLE6.seq	WC-913
39.MMHAP27FLE6.seq	WC-789
39.MMHAP28FLE6.seq	WC-956
40.E1_8_31_95.seq	WC-1445
40.MHAa27B.seq	WC-307
40.MHAa56h4.seq	WC-1371
40.MHAa61B.seq	WC-807
40.MHAa64h4.seq	WC-613
40.MHAa89h4.seq	WC-385
40.MHAa90d4.seq	WC-511
40.MHAa91h4.seq	WC-53
40.MHAa92d4.seq	WC-1445
40.MHAa96d4.seq	WC-1516
40.MMHAP11FRF10.seq	WC-1352
40.MMHAP20FRF10.seq	WC-50
40.MMHAP23FLF4.seq	WC-1051
40.MMHAP25FLF4.seq	WC-377
40.MMHAP25FRF10.seq	WC-1124
40.MMHAP27FRF10.seq	WC-486
40.MMHAP28FLF4.seq	WC-1374
40.MMHAP28FRF10.seq	WC-651
40.MMHAP29FLF4.seq	WC-458
40.MMHAP33FLF4.seq	WC-271
41.MHAa43f5.seq	WC-67
41.MHAa52h5.seq	WC-256
41.MHAa63d5.seq	WC-389
41.MHAa75d5.seq	WC-439
41.MHAa77d5.seq	WC-854
41.MHAa90d5.seq	WC-67
41.MHAa90h5.seq	WC-350
41.MHAa96d5.seq	WC-563
41.MMHAP12FLF5.seq	WC-10
41.MMHAP12FRF11.seq	WC-1698
41.MMHAP20FLF5.seq	WC-1087
41.MMHAP23FLF5.seq	WC-254
41.MMHAP25FLF5.seq	WC-1136
41.MMHAP26FRF11.seq	WC-405
41.MMHAP27FLF5.seq	WC-336
41.MMHAP28FLF5.seq	WC-421
41.MMHAP31FLF5.seq	WC-91
42.MHAa52h6.seq	WC-780
42.MHAa64h6.seq	WC-546
42.MHAa75d6.seq	WC-851
42.MHAa77d6.seq	WC-563
42.MHAa90d6.seq	WC-1108
42.MHAa92h6.seq	WC-806
42.MHAa95d6.seq	WC-646
42.MHAa96d6.seq	WC-632
42.MHAa98h6.seq	WC-1175
42.MMHAP20FRF12.seq	WC-617
42.MMHAP25FLF6.seq	WC-436
42.MMHAP25FRF12.seq	WC-45
42.MMHAP27FRF12.seq	WC-934
42.MMHAP28FLF6.seq	WC-1663
42.MMHAP31FLF6.seq	WC-178
42.MMHAP32FLF6.seq	WC-1544
43.MHAa56h7.seq	WC-598
43.MHAa63d7.seq	WC-115
43.MHAa65T_M13Rev.seq	WC-432
43.MHAa91h7.seq	WC-1385
43.MHAa92h7.seq	WC-1346
43.MHAa98h7.seq	WC-889
43.MMHAP12FRG10.seq	WC-926
43.MMHAP14FLG4.seq	WC-42
43.MMHAP20FRG10.seq	WC-319
43.MMHAP24FLG4.seq	WC-855
43.MMHAP24FRG10.seq	WC-736
43.MMHAP25FLG4.seq	WC-1072
43.MMHAP25FRG10.seq	WC-851
43.MMHAP26FLG4.seq	WC-147
43.MMHAP26FRG10.seq	WC-1515
43.MMHAP27FLG4.seq	WC-936
43.MMHAP27FRG10.seq	WC-774
43.MMHAP31FLG4.seq	WC-1046
44.MHAa42h8.seq	WC-1084
44.MHAa52h8.seq	WC-1116
